caller_id,callee_id,source_ip,destination_ip,call_start_time,call_duration_seconds,call_type,call_status,protocol,call_quality,is_blacklisted,number_of_previous_calls,caller_location,callee_location
-9876543119,-13812345592,203.0.113.150,198.51.100.215,11:31:00,90,outbound,failed,SIP,2.5,TRUE,3,India,China
-13987654235,-423456728,203.0.113.172,198.51.100.27,11:32:19,444,inbound,dropped,SIP,2.3,FALSE,18,China,Australia
-13812345592,-7654321054,203.0.113.23,198.51.100.72,11:34:47,57,outbound,completed,H.323,3.4,FALSE,5,China,UK
-13812345592,-5554445554,203.0.113.217,198.51.100.186,11:37:24,155,inbound,completed,SIP,3,FALSE,6,China,USA
-5559876542,-423456728,203.0.113.142,198.51.100.58,11:39:56,124,outbound,completed,SIP,4.3,FALSE,1,USA,Australia
-7654321054,-13812345592,203.0.113.169,198.51.100.237,11:42:16,233,inbound,completed,SIP,3.6,FALSE,9,UK,China
-5559876542,-412345617,203.0.113.150,198.51.100.74,11:43:11,106,outbound,failed,SIP,2.5,FALSE,2,USA,Australia
-13812345592,-7712345634,203.0.113.14,198.51.100.103,11:45:27,433,outbound,completed,SIP,4.9,FALSE,8,China,UK
-8899552120,-423456728,203.0.113.243,198.51.100.53,11:47:07,40,inbound,completed,SIP,4.9,FALSE,3,India,Australia
-7896541186,-5553334443,203.0.113.207,198.51.100.32,11:49:48,303,inbound,completed,SIP,4.6,FALSE,6,UK,USA
-7712345634,-423456728,203.0.113.11,198.51.100.253,11:51:14,95,outbound,completed,IAX2,4,FALSE,2,UK,Australia
-13812345592,-5554445554,203.0.113.132,198.51.100.3,11:52:44,405,outbound,completed,IAX2,3.4,FALSE,9,China,USA
-5554445554,-7654321054,203.0.113.195,198.51.100.2,11:54:06,452,outbound,completed,SIP,3.2,FALSE,3,USA,UK
-9765432018,-9876543119,203.0.113.41,198.51.100.233,11:55:11,61,inbound,completed,IAX2,4.8,FALSE,5,India,India
-7896541186,-7744112142,203.0.113.213,198.51.100.32,11:58:03,539,outbound,completed,IAX2,3.9,FALSE,7,UK,India
-5553334443,-13987654235,203.0.113.35,198.51.100.91,11:59:33,561,outbound,completed,H.323,4.9,TRUE,7,USA,China
-5553334443,-7712345634,203.0.113.103,198.51.100.251,12:01:24,340,inbound,completed,SIP,3.3,TRUE,8,USA,UK
-9876543119,-7987654277,203.0.113.76,198.51.100.247,12:02:38,425,inbound,completed,SIP,4,TRUE,5,India,UK
-5553334443,-423456728,203.0.113.215,198.51.100.61,12:04:13,600,inbound,completed,SIP,4.7,TRUE,9,USA,Australia
-5551234566,-13812345592,203.0.113.220,198.51.100.157,12:05:17,365,outbound,failed,SIP,2.2,TRUE,9,USA,China
-5551234566,-13812345592,203.0.113.141,198.51.100.61,12:06:16,47,inbound,failed,SIP,2.3,TRUE,10,USA,China
-5551234566,-7896541186,203.0.113.144,198.51.100.57,12:08:34,155,outbound,failed,SIP,1.9,TRUE,11,USA,UK
-412345617,-13812345592,203.0.113.181,198.51.100.133,12:11:18,313,inbound,completed,SIP,3.7,FALSE,15,Australia,China
-7744112142,-412345617,203.0.113.189,198.51.100.216,12:13:09,42,inbound,completed,SIP,4.3,FALSE,7,India,Australia
-7896541186,-13987654235,203.0.113.128,198.51.100.14,12:14:31,95,inbound,completed,SIP,4.4,FALSE,9,UK,China
-5553334443,-412345617,203.0.113.203,198.51.100.210,12:16:34,245,inbound,completed,SIP,4.2,TRUE,10,USA,Australia
-13812345592,-423456728,203.0.113.132,198.51.100.249,12:19:29,103,inbound,completed,SIP,4.7,FALSE,13,China,Australia
-13987654235,-7896541186,203.0.113.140,198.51.100.118,12:21:08,104,outbound,completed,SIP,4.9,FALSE,21,China,UK
-423456728,-5553334443,203.0.113.54,198.51.100.197,12:23:22,109,outbound,dropped,SIP,2.4,FALSE,16,Australia,USA
-9123456698,-5551112221,203.0.113.116,198.51.100.158,12:25:01,362,outbound,failed,IAX2,2.4,FALSE,3,India,USA
-7654321054,-412345617,203.0.113.174,198.51.100.142,12:27:34,491,inbound,completed,SIP,4.1,FALSE,11,UK,Australia
-13987654235,-5551112221,203.0.113.24,198.51.100.171,12:29:14,357,inbound,completed,SIP,4.8,FALSE,22,China,USA
-9988776564,-412345617,203.0.113.182,198.51.100.41,12:31:29,585,inbound,dropped,SIP,1.1,FALSE,4,India,Australia
-9123456698,-9988776564,203.0.113.49,198.51.100.164,12:33:59,85,outbound,completed,SIP,4.9,FALSE,4,India,India
-7712345634,-423456728,203.0.113.21,198.51.100.4,12:36:19,198,outbound,completed,IAX2,4.7,FALSE,4,UK,Australia
-5553334443,-9765432018,203.0.113.223,198.51.100.55,12:39:10,102,inbound,dropped,SIP,1.1,TRUE,12,USA,India
-5551234566,-9123456698,203.0.113.4,198.51.100.145,12:40:37,561,outbound,failed,SIP,1.9,TRUE,12,USA,India
-412345617,-13987654235,203.0.113.114,198.51.100.46,12:41:13,362,inbound,completed,SIP,4.7,FALSE,20,Australia,China
-5556667776,-412345617,203.0.113.217,198.51.100.15,12:43:41,82,outbound,completed,SIP,3,FALSE,5,USA,Australia
-9876543119,-13812345592,203.0.113.21,198.51.100.212,12:44:40,549,outbound,dropped,H.323,1.7,TRUE,6,India,China
-7654321054,-5559876542,203.0.113.181,198.51.100.8,12:46:53,35,outbound,completed,SIP,3.1,FALSE,12,UK,USA
-8899552120,-13812345592,203.0.113.78,198.51.100.234,12:48:19,77,inbound,completed,SIP,3.2,FALSE,4,India,China
-5553334443,-13987654235,203.0.113.54,198.51.100.163,12:49:40,128,inbound,failed,SIP,2.2,TRUE,13,USA,China
-13987654235,-13812345592,203.0.113.172,198.51.100.7,12:51:19,124,inbound,dropped,SIP,1.2,FALSE,25,China,China
-5556667776,-13987654235,203.0.113.77,198.51.100.38,12:52:20,45,inbound,completed,H.323,4,FALSE,6,USA,China
-423456728,-5553334443,203.0.113.61,198.51.100.100,12:54:19,50,outbound,completed,SIP,3.4,FALSE,18,Australia,USA
-5551234566,-13987654235,203.0.113.12,198.51.100.41,12:54:49,188,outbound,dropped,SIP,2.1,TRUE,13,USA,China
-7987654277,-423456728,203.0.113.188,198.51.100.20,12:55:30,392,outbound,completed,SIP,4.2,FALSE,7,UK,Australia
-13987654235,-9765432018,203.0.113.4,198.51.100.242,12:56:04,116,inbound,completed,SIP,4.9,FALSE,28,China,India
-5553334443,-13987654235,203.0.113.249,198.51.100.35,12:57:02,218,outbound,failed,SIP,1.6,TRUE,15,USA,China
-9988776564,-7987654277,203.0.113.136,198.51.100.218,12:57:55,410,inbound,completed,SIP,5,FALSE,6,India,UK
-412345617,-5559876542,203.0.113.17,198.51.100.227,12:59:24,411,outbound,completed,SIP,4.7,FALSE,22,Australia,USA
-13812345592,-5551112221,203.0.113.18,198.51.100.152,13:00:13,48,outbound,dropped,IAX2,2,FALSE,17,China,USA
-13812345592,-8123456698,203.0.113.196,198.51.100.4,13:02:26,405,outbound,completed,SIP,3.4,FALSE,18,China,India
-5554445554,-8899552120,203.0.113.224,198.51.100.175,13:04:40,467,inbound,completed,SIP,4.9,FALSE,4,USA,India
-9123456698,-5559876542,203.0.113.155,198.51.100.196,13:06:33,430,outbound,completed,SIP,4,FALSE,6,India,USA
-5551234566,-13812345592,203.0.113.132,198.51.100.246,13:09:25,379,outbound,failed,H.323,2.3,TRUE,14,USA,China
-9988776564,-7987654277,203.0.113.59,198.51.100.49,13:12:25,453,outbound,completed,SIP,4.5,FALSE,7,India,UK
-9876543119,-412345617,203.0.113.49,198.51.100.84,13:14:24,118,outbound,completed,SIP,4.1,TRUE,7,India,Australia
-13987654235,-5553334443,203.0.113.185,198.51.100.128,13:16:12,321,inbound,completed,SIP,3.2,FALSE,30,China,USA
-9765432018,-5551112221,203.0.113.229,198.51.100.216,13:18:40,158,outbound,completed,SIP,3.3,FALSE,8,India,USA
-9876543119,-13812345592,203.0.113.52,198.51.100.237,13:20:52,235,inbound,failed,SIP,2.4,TRUE,8,India,China
-13987654235,-5554445554,203.0.113.116,198.51.100.250,13:21:46,492,inbound,completed,SIP,4.5,FALSE,31,China,USA
-13812345592,-412345617,203.0.113.109,198.51.100.254,13:22:41,98,outbound,completed,SIP,3.2,FALSE,21,China,Australia
-13812345592,-9876543119,203.0.113.212,198.51.100.86,13:24:18,484,inbound,completed,H.323,3.1,FALSE,22,China,India
-9876543119,-7896541186,203.0.113.193,198.51.100.148,13:27:10,600,outbound,completed,SIP,4.4,TRUE,10,India,UK
-7896541186,-5559876542,203.0.113.28,198.51.100.187,13:29:26,564,inbound,completed,SIP,4.5,FALSE,12,UK,USA
-5551234566,-5553334443,203.0.113.30,198.51.100.94,13:31:48,70,outbound,dropped,SIP,2.1,TRUE,15,USA,USA
-423456728,-7654321054,203.0.113.215,198.51.100.152,13:34:05,402,outbound,completed,SIP,3.6,FALSE,20,Australia,UK
-5551112221,-13812345592,203.0.113.126,198.51.100.174,13:34:36,573,outbound,failed,SIP,1,FALSE,10,USA,China
-412345617,-13812345592,203.0.113.87,198.51.100.44,13:35:25,329,inbound,completed,SIP,4.2,FALSE,25,Australia,China
-7896541186,-7712345634,203.0.113.137,198.51.100.139,13:37:18,366,outbound,completed,SIP,3.1,FALSE,13,UK,UK
-9876543119,-9988776564,203.0.113.136,198.51.100.249,13:37:54,74,inbound,failed,IAX2,1.5,TRUE,11,India,India
-5551234566,-13812345592,203.0.113.207,198.51.100.30,13:38:52,80,inbound,failed,SIP,1.2,TRUE,16,USA,China
-7654321054,-7712345634,203.0.113.143,198.51.100.22,13:41:35,357,inbound,completed,IAX2,3.2,FALSE,14,UK,UK
-412345617,-423456728,203.0.113.119,198.51.100.148,13:43:43,516,inbound,completed,SIP,4.5,FALSE,26,Australia,Australia
-412345617,-13812345592,203.0.113.32,198.51.100.216,13:46:18,448,inbound,completed,SIP,4.8,FALSE,27,Australia,China
-7712345634,-423456728,203.0.113.224,198.51.100.197,13:49:08,17,outbound,failed,SIP,1.4,FALSE,7,UK,Australia
-5553334443,-13987654235,203.0.113.119,198.51.100.85,13:51:13,589,inbound,completed,IAX2,4.3,TRUE,18,USA,China
-13812345592,-9876543119,203.0.113.31,198.51.100.41,13:51:52,485,inbound,completed,SIP,3.7,FALSE,27,China,India
-13812345592,-5553334443,203.0.113.193,198.51.100.19,13:54:44,230,outbound,dropped,SIP,2.5,FALSE,28,China,USA
-13987654235,-5551234566,203.0.113.174,198.51.100.241,13:56:41,536,inbound,completed,SIP,4.5,FALSE,33,China,USA
-13812345592,-13987654235,203.0.113.28,198.51.100.87,13:57:17,265,outbound,completed,SIP,4.4,FALSE,29,China,China
-5556667776,-9876543119,203.0.113.39,198.51.100.131,13:59:57,20,outbound,completed,SIP,3.6,FALSE,7,USA,India
-8123456698,-7654321054,203.0.113.34,198.51.100.150,14:00:46,360,outbound,completed,SIP,3.7,FALSE,5,India,UK
-412345617,-5554445554,203.0.113.125,198.51.100.126,14:02:16,516,outbound,completed,SIP,3,FALSE,28,Australia,USA
-5551234566,-13987654235,203.0.113.39,198.51.100.112,14:03:50,238,inbound,failed,SIP,2.4,TRUE,18,USA,China
-5551112221,-5551234566,203.0.113.90,198.51.100.71,14:06:08,404,outbound,completed,SIP,4.1,FALSE,11,USA,USA
-7987654277,-5556667776,203.0.113.66,198.51.100.23,14:06:47,559,outbound,completed,SIP,4.5,FALSE,10,UK,USA
-423456728,-13987654235,203.0.113.152,198.51.100.110,14:07:17,434,inbound,completed,IAX2,4.7,FALSE,23,Australia,China
-5551234566,-7654321054,203.0.113.176,198.51.100.180,14:09:14,506,inbound,failed,SIP,1.9,TRUE,20,USA,UK
-5556667776,-5554445554,203.0.113.166,198.51.100.129,14:10:01,23,outbound,completed,SIP,3.5,FALSE,9,USA,USA
-9988776564,-7712345634,203.0.113.153,198.51.100.135,14:11:37,250,outbound,completed,SIP,4.8,FALSE,9,India,UK
-9876543119,-5551112221,203.0.113.113,198.51.100.23,14:14:05,598,inbound,failed,SIP,1.1,TRUE,14,India,USA
-5553334443,-7987654277,203.0.113.108,198.51.100.85,14:15:25,383,outbound,failed,SIP,2,TRUE,20,USA,UK
-13987654235,-7987654277,203.0.113.209,198.51.100.168,14:16:49,518,inbound,completed,SIP,4.7,FALSE,37,China,UK
-5554445554,-13812345592,203.0.113.167,198.51.100.24,14:19:31,213,outbound,failed,SIP,2,FALSE,8,USA,China
-7896541186,-5554445554,203.0.113.164,198.51.100.77,14:21:58,66,inbound,completed,SIP,3.1,FALSE,14,UK,USA
-7987654277,-13812345592,203.0.113.199,198.51.100.249,14:22:32,333,outbound,failed,SIP,1.4,FALSE,13,UK,China
-423456728,-412345617,203.0.113.84,198.51.100.76,14:25:26,434,outbound,completed,SIP,4.4,FALSE,24,Australia,Australia
-5554445554,-5559876542,203.0.113.217,198.51.100.163,14:27:16,338,inbound,dropped,H.323,2.1,FALSE,10,USA,USA
-423456728,-412345617,203.0.113.253,198.51.100.149,14:27:46,254,inbound,completed,SIP,4.7,FALSE,25,Australia,Australia
-9876543119,-7712345634,203.0.113.126,198.51.100.107,14:29:30,349,outbound,dropped,SIP,1.9,TRUE,15,India,UK
-13812345592,-5554445554,203.0.113.36,198.51.100.91,14:30:29,13,inbound,completed,SIP,3.6,FALSE,32,China,USA
-5551234566,-8123456698,203.0.113.145,198.51.100.119,14:31:08,488,inbound,failed,H.323,2.2,TRUE,21,USA,India
-412345617,-9876543119,203.0.113.115,198.51.100.89,14:33:51,570,inbound,completed,SIP,3.9,FALSE,31,Australia,India
-7712345634,-13812345592,203.0.113.43,198.51.100.23,14:36:02,495,inbound,completed,SIP,3,FALSE,10,UK,China
-5553334443,-423456728,203.0.113.248,198.51.100.238,14:36:53,542,outbound,completed,SIP,4.7,TRUE,21,USA,Australia
-9765432018,-13987654235,203.0.113.58,198.51.100.76,14:37:54,435,outbound,completed,SIP,4.7,FALSE,9,India,China
-423456728,-9012345587,203.0.113.54,198.51.100.184,14:38:46,18,inbound,completed,H.323,3.2,FALSE,27,Australia,India
-7987654277,-8899552120,203.0.113.179,198.51.100.180,14:41:33,42,inbound,completed,IAX2,4.7,FALSE,14,UK,India
-5556667776,-13812345592,203.0.113.4,198.51.100.57,14:44:05,467,inbound,completed,SIP,4.8,FALSE,10,USA,China
-7896541186,-5553334443,203.0.113.57,198.51.100.211,14:45:25,336,outbound,completed,SIP,5,FALSE,15,UK,USA
-13987654235,-9012345587,203.0.113.21,198.51.100.88,14:47:12,396,inbound,completed,SIP,4.5,FALSE,39,China,India
-5553334443,-9123456698,203.0.113.77,198.51.100.98,14:49:37,394,inbound,failed,H.323,1.5,TRUE,23,USA,India
-7987654277,-7744112142,203.0.113.226,198.51.100.218,14:50:53,350,outbound,dropped,SIP,2.2,FALSE,15,UK,India
-7744112142,-7896541186,203.0.113.2,198.51.100.23,14:51:42,468,inbound,completed,SIP,3.5,FALSE,9,India,UK
-9876543119,-412345617,203.0.113.171,198.51.100.13,14:53:16,526,inbound,completed,SIP,3.3,TRUE,17,India,Australia
-5559876542,-8899552120,203.0.113.91,198.51.100.16,14:55:35,242,inbound,completed,SIP,4.2,FALSE,8,USA,India
-9012345587,-13812345592,203.0.113.39,198.51.100.48,14:58:18,479,outbound,dropped,SIP,1.6,FALSE,5,India,China
-8123456698,-13812345592,203.0.113.16,198.51.100.128,14:58:59,331,outbound,completed,SIP,3.4,FALSE,7,India,China
-13987654235,-423456728,203.0.113.164,198.51.100.220,15:00:05,177,inbound,completed,SIP,3.5,FALSE,40,China,Australia
-5551234566,-7654321054,203.0.113.26,198.51.100.227,15:01:03,155,inbound,completed,SIP,4.1,TRUE,22,USA,UK
-5551234566,-7896541186,203.0.113.64,198.51.100.51,15:01:36,154,inbound,completed,SIP,4.3,TRUE,23,USA,UK
-13812345592,-7744112142,203.0.113.184,198.51.100.69,15:02:43,550,outbound,completed,IAX2,4.6,FALSE,37,China,India
-13987654235,-412345617,203.0.113.245,198.51.100.95,15:03:14,432,inbound,completed,SIP,4.9,FALSE,41,China,Australia
-7987654277,-7896541186,203.0.113.88,198.51.100.59,15:05:54,201,inbound,completed,SIP,3.6,FALSE,16,UK,UK
-13987654235,-5559876542,203.0.113.112,198.51.100.231,15:08:06,422,inbound,completed,H.323,3,FALSE,42,China,USA
-9123456698,-13987654235,203.0.113.21,198.51.100.246,15:09:19,192,inbound,completed,SIP,4,FALSE,8,India,China
-5553334443,-7654321054,203.0.113.252,198.51.100.192,15:10:29,119,inbound,failed,SIP,1.2,TRUE,24,USA,UK
-7896541186,-13987654235,203.0.113.77,198.51.100.157,15:12:27,251,inbound,completed,SIP,3.4,FALSE,19,UK,China
-5556667776,-7896541186,203.0.113.222,198.51.100.112,15:14:03,16,inbound,dropped,SIP,1.7,FALSE,11,USA,UK
-13812345592,-9123456698,203.0.113.96,198.51.100.37,15:15:51,218,inbound,completed,SIP,4.4,FALSE,38,China,India
-9876543119,-423456728,203.0.113.180,198.51.100.53,15:18:34,269,inbound,failed,H.323,2,TRUE,18,India,Australia
-7654321054,-7896541186,203.0.113.68,198.51.100.44,15:19:54,245,inbound,completed,SIP,4.5,FALSE,19,UK,UK
-5553334443,-423456728,203.0.113.146,198.51.100.95,15:21:20,552,inbound,failed,SIP,1.3,TRUE,25,USA,Australia
-13812345592,-7654321054,203.0.113.94,198.51.100.227,15:22:42,483,inbound,completed,IAX2,3.5,FALSE,39,China,UK
-13987654235,-8899552120,203.0.113.109,198.51.100.251,15:25:19,332,inbound,dropped,SIP,1.6,FALSE,45,China,India
-423456728,-7744112142,203.0.113.3,198.51.100.91,15:27:25,184,inbound,completed,IAX2,3.8,FALSE,31,Australia,India
-412345617,-13812345592,203.0.113.65,198.51.100.91,15:28:24,551,outbound,completed,SIP,4,FALSE,34,Australia,China
-7654321054,-7987654277,203.0.113.91,198.51.100.198,15:30:24,359,inbound,completed,H.323,4.7,FALSE,21,UK,UK
-7712345634,-9876543119,203.0.113.231,198.51.100.94,15:31:41,50,inbound,completed,SIP,3.7,FALSE,11,UK,India
-7896541186,-13987654235,203.0.113.239,198.51.100.203,15:34:28,420,inbound,completed,IAX2,4.1,FALSE,22,UK,China
-5554445554,-9123456698,203.0.113.248,198.51.100.178,15:36:21,404,outbound,completed,IAX2,4.7,FALSE,12,USA,India
-7712345634,-9012345587,203.0.113.30,198.51.100.41,15:37:58,550,outbound,completed,SIP,3.3,FALSE,12,UK,India
-9012345587,-412345617,203.0.113.27,198.51.100.63,15:39:57,181,outbound,completed,IAX2,4.5,FALSE,7,India,Australia
-5551234566,-13987654235,203.0.113.151,198.51.100.249,15:42:07,11,inbound,dropped,IAX2,2.2,TRUE,24,USA,China
-9876543119,-5551234566,203.0.113.82,198.51.100.38,15:44:09,594,outbound,completed,SIP,3.8,TRUE,20,India,USA
-423456728,-5553334443,203.0.113.148,198.51.100.124,15:46:01,40,inbound,completed,SIP,4.7,FALSE,32,Australia,USA
-7712345634,-13987654235,203.0.113.130,198.51.100.219,15:48:17,565,inbound,completed,H.323,4,FALSE,13,UK,China
-8899552120,-8123456698,203.0.113.124,198.51.100.184,15:49:23,204,inbound,completed,SIP,4.7,FALSE,9,India,India
-9876543119,-423456728,203.0.113.102,198.51.100.238,15:51:04,71,outbound,completed,SIP,3,TRUE,21,India,Australia
-13987654235,-5554445554,203.0.113.132,198.51.100.101,15:52:24,497,inbound,failed,IAX2,1.1,FALSE,49,China,USA
-5554445554,-412345617,203.0.113.86,198.51.100.166,15:53:58,329,outbound,completed,SIP,3.5,FALSE,14,USA,Australia
-8123456698,-13812345592,203.0.113.232,198.51.100.189,15:55:32,62,inbound,completed,SIP,4.5,FALSE,9,India,China
-5554445554,-13987654235,203.0.113.64,198.51.100.62,15:57:55,420,outbound,completed,SIP,4.6,FALSE,15,USA,China
-5559876542,-412345617,203.0.113.233,198.51.100.99,16:00:24,212,outbound,completed,SIP,3.8,FALSE,10,USA,Australia
